, Emotion, Text
1426,kesal, Saya merasa kesal karena tata usaha kampus tidak responsif terhadap permohonan mahasiswa dalam pengurusan administrasi.
1427,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan bantuan yang memadai dalam mengurus penggantian KTM yang hilang.
1428,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang akurat tentang syarat dan ketentuan mengikuti ujian akhir semester.
1429,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan dukungan yang memadai dalam mengurus permohonan perpanjangan masa studi.
1430,kesal, Saya merasa kesal karena tata usaha kampus tidak responsif terhadap permohonan mahasiswa mengenai proses administrasi.
1431,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan pengarahan yang jelas tentang proses pendaftaran mata kuliah ulang.
1432,kesal, Saya merasa kesal karena tata usaha kampus terkadang tidak memberikan panduan yang jelas tentang proses pendaftaran mata kuliah prasyarat.
1433,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan pelayanan yang ramah saat mahasiswa mengajukan pertanyaan.
1434,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang lengkap tentang persyaratan pengambilan mata kuliah ulang.
1435,kecewa, Saya merasa kecewa  karena tata usaha kampus terkadang tidak memberikan dukungan yang memadai dalam mengurus pendaftaran mata kuliah prasyarat.
1436,kesal, Saya merasa kesal karena tata usaha kampus tidak selalu memberikan informasi yang akurat tentang proses pengambilan mata kuliah ulang.
1437,kecewa, Saya merasa kecewa  karena tata usaha kampus terkadang lambat dalam merespon pertanyaan mahasiswa.
1438,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan pengarahan yang jelas tentang proses pendaftaran mata kuliah prasyarat.
1439,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan bantuan yang memadai dalam mengurus perpanjangan peminjaman buku perpustakaan.
1440,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang akurat tentang syarat dan ketentuan mengajukan cuti kuliah.
1441,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan dukungan yang memadai dalam mengurus pengurusan beasiswa.
1442,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang lengkap tentang prosedur pembayaran uang kuliah.
1443,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak responsif dalam merespon pertanyaan mahasiswa tentang proses administrasi.
1444,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan panduan yang jelas tentang prosedur pengajuan cuti kuliah akademik.
1445,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan informasi yang akurat tentang jadwal kuliah dan kegiatan kampus.
1446,kesal, Saya merasa kesal karena tata usaha kampus tidak responsif terhadap permohonan mahasiswa dalam pengurusan administrasi.
1447,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan bantuan yang memadai dalam mengurus penggantian KTM yang hilang.
1448,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang akurat tentang syarat dan ketentuan mengikuti ujian akhir semester.
1449,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan dukungan yang memadai dalam mengurus permohonan perpanjangan masa studi.
1450,kesal, Saya merasa kesal karena tata usaha kampus tidak responsif terhadap permohonan mahasiswa mengenai proses administrasi.
1451,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan pengarahan yang jelas tentang proses pendaftaran mata kuliah ulang.
1452,kesal, Saya merasa kesal karena tata usaha kampus terkadang tidak memberikan panduan yang jelas tentang prosedur pendaftaran mata kuliah prasyarat.
1453,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan pelayanan yang ramah saat mahasiswa mengajukan pertanyaan.
1454,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang lengkap tentang persyaratan pengambilan mata kuliah ulang.
1455,kecewa, Saya merasa kecewa  karena tata usaha kampus terkadang tidak memberikan dukungan yang memadai dalam mengurus pendaftaran mata kuliah prasyarat.
1456,kesal, Saya merasa kesal karena tata usaha kampus tidak selalu memberikan informasi yang akurat tentang proses pengambilan mata kuliah ulang.
1457,kecewa, Saya merasa kecewa  karena tata usaha kampus terkadang lambat dalam merespon pertanyaan mahasiswa.
1458,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan pengarahan yang jelas tentang proses pendaftaran mata kuliah prasyarat.
1459,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan bantuan yang memadai dalam mengurus perpanjangan peminjaman buku perpustakaan.
1460,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang akurat tentang syarat dan ketentuan mengajukan cuti kuliah.
1461,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan dukungan yang memadai dalam mengurus pengurusan beasiswa.
1462,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang lengkap tentang prosedur pembayaran uang kuliah.
1463,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak responsif dalam merespon pertanyaan mahasiswa tentang proses administrasi.
1464,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan panduan yang jelas tentang prosedur pengajuan cuti kuliah akademik.
1465,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan informasi yang akurat tentang jadwal kuliah dan kegiatan kampus.
1466,kesal, Saya merasa kesal karena tata usaha kampus tidak responsif terhadap permohonan mahasiswa dalam pengurusan administrasi.
1467,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan bantuan yang memadai dalam mengurus penggantian KTM yang hilang.
1468,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang akurat tentang syarat dan ketentuan mengikuti ujian akhir semester.
1469,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan dukungan yang memadai dalam mengurus permohonan perpanjangan masa studi.
1470,kesal, Saya merasa kesal karena tata usaha kampus tidak responsif terhadap permohonan mahasiswa mengenai proses administrasi.
1471,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan pengarahan yang jelas tentang proses pendaftaran mata kuliah ulang.
1472,kesal, Saya merasa kesal karena tata usaha kampus terkadang tidak memberikan panduan yang jelas tentang prosedur pendaftaran mata kuliah prasyarat.
1473,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan pelayanan yang ramah saat mahasiswa mengajukan pertanyaan.
1474,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang lengkap tentang persyaratan pengambilan mata kuliah ulang.
1475,kecewa, Saya merasa kecewa  karena tata usaha kampus terkadang tidak memberikan dukungan yang memadai dalam mengurus pendaftaran mata kuliah prasyarat.
1476,kesal, Saya merasa kesal karena tata usaha kampus tidak selalu memberikan informasi yang akurat tentang proses pengambilan mata kuliah ulang.
1477,kecewa, Saya merasa kecewa  karena tata usaha kampus terkadang lambat dalam merespon pertanyaan mahasiswa.
1478,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan pengarahan yang jelas tentang proses pendaftaran mata kuliah prasyarat.
1479,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan bantuan yang memadai dalam mengurus perpanjangan peminjaman buku perpustakaan.
1480,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang akurat tentang syarat dan ketentuan mengajukan cuti kuliah.
1481,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan dukungan yang memadai dalam mengurus pengurusan beasiswa.
1482,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang lengkap tentang prosedur pembayaran uang kuliah.
1483,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak responsif dalam merespon pertanyaan mahasiswa tentang proses administrasi.
1484,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan panduan yang jelas tentang prosedur pengajuan cuti kuliah akademik.
1485,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan informasi yang akurat tentang jadwal kuliah dan kegiatan kampus.
1486,kesal, Saya merasa kesal karena tata usaha kampus tidak responsif terhadap permohonan mahasiswa dalam pengurusan administrasi.
1487,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan bantuan yang memadai dalam mengurus penggantian KTM yang hilang.
1488,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang akurat tentang syarat dan ketentuan mengikuti ujian akhir semester.
1489,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan dukungan yang memadai dalam mengurus permohonan perpanjangan masa studi.
1490,kesal, Saya merasa kesal karena tata usaha kampus tidak responsif terhadap permohonan mahasiswa mengenai proses administrasi.
1491,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan pengarahan yang jelas tentang proses pendaftaran mata kuliah ulang.
1492,kesal, Saya merasa kesal karena tata usaha kampus terkadang tidak memberikan panduan yang jelas tentang prosedur pendaftaran mata kuliah prasyarat.
1493,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan pelayanan yang ramah saat mahasiswa mengajukan pertanyaan.
1494,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang lengkap tentang persyaratan pengambilan mata kuliah ulang.
1495,kecewa, Saya merasa kecewa  karena tata usaha kampus terkadang tidak memberikan dukungan yang memadai dalam mengurus pendaftaran mata kuliah prasyarat.
1496,kesal, Saya merasa kesal karena tata usaha kampus tidak selalu memberikan informasi yang akurat tentang proses pengambilan mata kuliah ulang.
1497,kecewa, Saya merasa kecewa  karena tata usaha kampus terkadang lambat dalam merespon pertanyaan mahasiswa.
1498,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan pengarahan yang jelas tentang proses pendaftaran mata kuliah prasyarat.
1499,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan bantuan yang memadai dalam mengurus perpanjangan peminjaman buku perpustakaan.
1500,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang akurat tentang syarat dan ketentuan mengajukan cuti kuliah.
1501,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan dukungan yang memadai dalam mengurus pengurusan beasiswa.
1502,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang lengkap tentang prosedur pembayaran uang kuliah.
1503,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak responsif dalam merespon pertanyaan mahasiswa tentang proses administrasi.
1504,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan panduan yang jelas tentang prosedur pengajuan cuti kuliah akademik.
1505,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan informasi yang akurat tentang jadwal kuliah dan kegiatan kampus.
1506,kesal, Saya merasa kesal karena tata usaha kampus tidak responsif terhadap permohonan mahasiswa dalam pengurusan administrasi.
1507,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan bantuan yang memadai dalam mengurus penggantian KTM yang hilang.
1508,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang akurat tentang syarat dan ketentuan mengikuti ujian akhir semester.
1509,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan dukungan yang memadai dalam mengurus permohonan perpanjangan masa studi.
1510,kesal, Saya merasa kesal karena tata usaha kampus tidak responsif terhadap permohonan mahasiswa mengenai proses administrasi.
1511,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan pengarahan yang jelas tentang proses pendaftaran mata kuliah ulang.
1512,kesal, Saya merasa kesal karena tata usaha kampus terkadang tidak memberikan panduan yang jelas tentang prosedur pendaftaran mata kuliah prasyarat.
1513,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan pelayanan yang ramah saat mahasiswa mengajukan pertanyaan.
1514,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang lengkap tentang persyaratan pengambilan mata kuliah ulang.
1515,kecewa, Saya merasa kecewa  karena tata usaha kampus terkadang tidak memberikan dukungan yang memadai dalam mengurus pendaftaran mata kuliah prasyarat.
1516,kesal, Saya merasa kesal karena tata usaha kampus tidak selalu memberikan informasi yang akurat tentang proses pengambilan mata kuliah ulang.
1517,kecewa, Saya merasa kecewa  karena tata usaha kampus terkadang lambat dalam merespon pertanyaan mahasiswa.
1518,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan pengarahan yang jelas tentang proses pendaftaran mata kuliah prasyarat.
1519,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan bantuan yang memadai dalam mengurus perpanjangan peminjaman buku perpustakaan.
1520,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang akurat tentang syarat dan ketentuan mengajukan cuti kuliah.
1521,puas, Saya merasa puas sekali dengan pelayanan nya.
1522,biasa saja, Saya merasa biasa saja sekali dengan pelayanannya .
1523,sedih, Saya merasasedih sekali dengan pelayanannya tidak cepat.
1524,senang, Pelayanan tata usaha kampus STAI Al-Azhary sangat membantu dan responsif! Saya senang dengan itu.
1525,puas, Proses perpanjangan masa studi di tata usaha kampus STAI Al-Azhary sangat mudah. Saya merasa puas dengan layanannya.
1526,biasa saja, Saya merasa biasa saja dengan pelayanan tata usaha kampus STAI Al-Azhary. Tidak ada yang istimewa.
1527,kesal, Tata usaha kampus STAI Al-Azhary seringkali tidak memberikan informasi yang dibutuhkan mahasiswa. Saya merasa kesal dengan itu.
1528,kecewa, Saya merasa kecewa dengan pelayanan tata usaha kampus STAI Al-Azhary yang buruk. Tidak sesuai harapan.
1529,sedih, Proses pengurusan KTM yang lambat membuat saya merasa sedih. Saya berharap bisa lebih efisien.
1530,senang, Pelayanan tata usaha kampus STAI Al-Azhary sangat membantu dan ramah. Saya senang dengan pelayanannya.
1531,puas, Saya merasa puas dengan proses penggantian KTM yang cepat di tata usaha kampus STAI Al-Azhary. Terima kasih!
1532,biasa saja, Proses perpanjangan masa studi di tata usaha kampus STAI Al-Azhary biasa saja. Tidak ada yang istimewa.
